week,row_var_w_tot_015,row_var_w_tot_033,row_var_w_tot_2,row_var_w_tot_h,row_var_fem_w_015,row_var_fem_w_033,row_var_fem_w_2,row_var_fem_w_h,row_var_male_w_015,row_var_male_w_033,row_var_male_w_2,row_var_male_w_h
131,26.27347198719868,21.11452184218413,17.649002010201027,18.1280412441244,13.161328442844322,11.487146464646436,10.041211311131104,10.302348944894476,5.05281079107911,4.5134701870187,4.127037943794374,4.261829692969289
132,25.757586468646814,21.28323136313634,17.909204680468054,18.638997339734,12.91904290429045,11.512275227522732,10.130174457445747,10.562433483348316,5.099829492949281,4.611315371537143,4.241369576957693,4.347377097709792
133,26.12552355235527,20.820041114111437,17.976445394539404,18.326103970397043,13.212280868086808,11.158099769977015,10.212604850485079,10.552896479647957,5.089559195919587,4.55628401840184,4.214116451645171,4.243895499549956
134,26.271100350034967,20.727771017101695,18.398758875887577,18.37103085308532,13.253725212521257,11.271484658465855,10.43997870787082,10.31007875787582,5.02749374937494,4.5931904290429,4.233828492849284,4.331957195719578
135,26.391870697069695,20.814752475247513,18.212599019901905,18.124236333633377,13.33475338533852,11.19170468046804,10.314834523452337,10.346197779777976,5.054464446444649,4.6181961296129606,4.265214361436175,4.257069456945691
136,27.1512741274128,21.269275087508653,18.224340474047423,17.855745534553456,13.747805780578005,11.478211461146126,10.459696529652962,10.157916101610153,5.165060506050598,4.572509690969094,4.234792719271933,4.201232913291324
137,26.6530267426742,21.79557571757177,17.90172041204122,18.625347644764478,13.532439283928385,11.699571517151734,10.379468306830667,10.500187128712867,5.181542114211471,4.692825722572262,4.142851045104509,4.420886528652889
138,26.729528862886344,21.250484048404786,18.133272037203646,17.851391049104915,13.489524862486222,11.414335743574352,10.29277503750373,10.18067882788276,5.154115411541134,4.617310441044097,4.121321322132206,4.243319921992188
139,26.469358575857562,21.4099198319832,18.144450445044523,17.740632303230196,13.327003410341066,11.50206556655663,10.240401790179035,10.006289588958898,5.119929102910274,4.6262721872187145,4.274255175517559,4.239932153215335
140,27.13393223322329,20.950639063906404,18.612467286728673,17.779955745574554,13.572389198919938,11.481286838683827,10.495761536153609,10.212292339233947,5.221587118711879,4.488765186518645,4.374182858285825,4.1953794979497845
141,26.601112551255124,21.472883128312812,18.673649274927513,18.529127152715343,13.391835183518351,11.602975337533755,10.649764816481664,10.548732063206293,5.15289732973297,4.626226622662258,4.216729182918283,4.327600510051025
142,26.77595670567058,21.285198029803002,18.578284138413835,17.88174493449347,13.72810256025603,11.484124802480265,10.60596203620362,10.124687578757884,5.103894549454937,4.597478307830811,4.2169132813281305,4.311058855885597
143,26.229282088208766,21.045194029402943,18.48031042104211,18.004249064906485,13.095451455145614,11.306536413641352,10.598795879587879,10.213510861086132,5.193127702770282,4.54559830983099,4.304778467846782,4.2813384438443824
